#Energy, xr0, xi0, xrh, xih
6.000, -0.40703E-04, 0.10381E-06, 0.81754E-05, 0.70112E-07
6.082, -0.39609E-04, 0.98122E-07, 0.79539E-05, 0.66209E-07
6.164, -0.38559E-04, 0.92813E-07, 0.77412E-05, 0.62570E-07
6.246, -0.37550E-04, 0.87854E-07, 0.75370E-05, 0.59175E-07
6.328, -0.36580E-04, 0.83219E-07, 0.73408E-05, 0.56003E-07
6.410, -0.35647E-04, 0.78882E-07, 0.71521E-05, 0.53038E-07
6.492, -0.34749E-04, 0.74820E-07, 0.69706E-05, 0.50263E-07
6.574, -0.33885E-04, 0.71014E-07, 0.67960E-05, 0.47665E-07
6.656, -0.33053E-04, 0.67443E-07, 0.66278E-05, 0.45231E-07
6.738, -0.32251E-04, 0.64092E-07, 0.64659E-05, 0.42947E-07
6.820, -0.31477E-04, 0.60944E-07, 0.63098E-05, 0.40804E-07
6.902, -0.30732E-04, 0.57985E-07, 0.61593E-05, 0.38790E-07
6.984, -0.30012E-04, 0.55201E-07, 0.60141E-05, 0.36898E-07
7.066, -0.29318E-04, 0.52581E-07, 0.58740E-05, 0.35118E-07
7.148, -0.28647E-04, 0.50112E-07, 0.57387E-05, 0.33442E-07
7.230, -0.27992E-04, 0.47785E-07, 0.56031E-05, 0.31863E-07
7.312, -0.27366E-04, 0.45590E-07, 0.54771E-05, 0.30375E-07
7.394, -0.26761E-04, 0.43518E-07, 0.53553E-05, 0.28972E-07
7.476, -0.26176E-04, 0.41561E-07, 0.52375E-05, 0.27648E-07
7.558, -0.25609E-04, 0.39711E-07, 0.51235E-05, 0.26397E-07
7.640, -0.25061E-04, 0.37962E-07, 0.50133E-05, 0.25215E-07
7.722, -0.24531E-04, 0.36307E-07, 0.49066E-05, 0.24097E-07
7.804, -0.24017E-04, 0.34741E-07, 0.48032E-05, 0.23040E-07
7.886, -0.23519E-04, 0.33257E-07, 0.47031E-05, 0.22039E-07
7.968, -0.23036E-04, 0.31850E-07, 0.46061E-05, 0.21091E-07
8.050, -0.22568E-04, 0.30516E-07, 0.45120E-05, 0.20193E-07
8.132, -0.22114E-04, 0.29251E-07, 0.44208E-05, 0.19341E-07
8.214, -0.21674E-04, 0.28049E-07, 0.43324E-05, 0.18547E-07
8.296, -0.21247E-04, 0.26908E-07, 0.42465E-05, 0.17796E-07
8.378, -0.20832E-04, 0.25824E-07, 0.41633E-05, 0.17083E-07
8.460, -0.20430E-04, 0.24793E-07, 0.40824E-05, 0.16405E-07
8.542, -0.20038E-04, 0.23812E-07, 0.40039E-05, 0.15760E-07
8.624, -0.19658E-04, 0.22879E-07, 0.39276E-05, 0.15145E-07
8.706, -0.19289E-04, 0.21991E-07, 0.38535E-05, 0.14560E-07
8.788, -0.18930E-04, 0.21145E-07, 0.37814E-05, 0.14003E-07
8.870, -0.18581E-04, 0.20338E-07, 0.37114E-05, 0.13472E-07
8.952, -0.18242E-04, 0.19570E-07, 0.36433E-05, 0.12965E-07
9.034, -0.17911E-04, 0.18836E-07, 0.35770E-05, 0.12482E-07
9.116, -0.17590E-04, 0.18137E-07, 0.35126E-05, 0.12021E-07
9.198, -0.17277E-04, 0.17469E-07, 0.34499E-05, 0.11580E-07
9.280, -0.16973E-04, 0.16831E-07, 0.33888E-05, 0.11160E-07
9.362, -0.16676E-04, 0.16222E-07, 0.33293E-05, 0.10758E-07
9.444, -0.16387E-04, 0.15640E-07, 0.32714E-05, 0.10374E-07
9.526, -0.16106E-04, 0.15083E-07, 0.32150E-05, 0.10006E-07
9.608, -0.15832E-04, 0.14551E-07, 0.31601E-05, 0.96549E-08
9.690, -0.15565E-04, 0.14042E-07, 0.31065E-05, 0.93185E-08
9.772, -0.15304E-04, 0.13554E-07, 0.30543E-05, 0.89965E-08
9.854, -0.15050E-04, 0.13087E-07, 0.30034E-05, 0.86881E-08
9.936, -0.14802E-04, 0.12640E-07, 0.29538E-05, 0.83927E-08
10.018, -0.14554E-04, 0.12212E-07, 0.29008E-05, 0.81096E-08
