#Energy, xr0, xi0, xrh, xih
9.095, -0.17672E-04, 0.18313E-07, 0.26333E-05, 0.11637E-07
9.186, -0.17323E-04, 0.17565E-07, 0.25810E-05, 0.11150E-07
9.277, -0.16984E-04, 0.16854E-07, 0.25302E-05, 0.10687E-07
9.368, -0.16655E-04, 0.16179E-07, 0.24809E-05, 0.10249E-07
9.459, -0.16335E-04, 0.15536E-07, 0.24331E-05, 0.98315E-08
9.550, -0.16025E-04, 0.14925E-07, 0.23866E-05, 0.94352E-08
9.641, -0.15723E-04, 0.14343E-07, 0.23414E-05, 0.90582E-08
9.732, -0.15430E-04, 0.13789E-07, 0.22975E-05, 0.86996E-08
9.823, -0.15145E-04, 0.13261E-07, 0.22549E-05, 0.83583E-08
9.914, -0.14868E-04, 0.12758E-07, 0.22134E-05, 0.80333E-08
10.005, -0.14592E-04, 0.12278E-07, 0.21687E-05, 0.77236E-08
10.096, -0.14329E-04, 0.11821E-07, 0.21294E-05, 0.74285E-08
10.187, -0.14074E-04, 0.11384E-07, 0.20912E-05, 0.71471E-08
10.278, -0.13825E-04, 0.10967E-07, 0.20540E-05, 0.68786E-08
10.369, -0.13583E-04, 0.10568E-07, 0.20178E-05, 0.66225E-08
10.460, -0.13347E-04, 0.10188E-07, 0.19826E-05, 0.63779E-08
10.551, -0.13118E-04, 0.98238E-08, 0.19483E-05, 0.61443E-08
10.642, -0.12894E-04, 0.94758E-08, 0.19149E-05, 0.59212E-08
10.733, -0.12676E-04, 0.91429E-08, 0.18823E-05, 0.57079E-08
10.824, -0.12463E-04, 0.88244E-08, 0.18505E-05, 0.55040E-08
10.915, -0.12256E-04, 0.85194E-08, 0.18196E-05, 0.53089E-08
11.006, -0.12054E-04, 0.82273E-08, 0.17894E-05, 0.51222E-08
11.097, -0.11857E-04, 0.79475E-08, 0.17600E-05, 0.49436E-08
11.188, -0.11664E-04, 0.76794E-08, 0.17313E-05, 0.47725E-08
11.279, -0.11476E-04, 0.74223E-08, 0.17033E-05, 0.46086E-08
11.370, -0.11293E-04, 0.71758E-08, 0.16759E-05, 0.44516E-08
11.461, -0.11114E-04, 0.69393E-08, 0.16492E-05, 0.43011E-08
11.552, -0.10940E-04, 0.67123E-08, 0.16232E-05, 0.41568E-08
11.643, -0.10769E-04, 0.64945E-08, 0.15978E-05, 0.40184E-08
11.734, -0.10602E-04, 0.62853E-08, 0.15729E-05, 0.38856E-08
11.825, -0.10440E-04, 0.60843E-08, 0.15487E-05, 0.37581E-08
11.916, -0.10281E-04, 0.58913E-08, 0.15250E-05, 0.36357E-08
12.007, -0.10125E-04, 0.57057E-08, 0.15018E-05, 0.35182E-08
12.098, -0.99732E-05, 0.55273E-08, 0.14792E-05, 0.34053E-08
12.189, -0.98246E-05, 0.53558E-08, 0.14571E-05, 0.32969E-08
12.280, -0.96794E-05, 0.51907E-08, 0.14355E-05, 0.31926E-08
12.371, -0.95373E-05, 0.50319E-08, 0.14143E-05, 0.30923E-08
12.462, -0.93984E-05, 0.48791E-08, 0.13936E-05, 0.29959E-08
12.553, -0.92625E-05, 0.47319E-08, 0.13734E-05, 0.29031E-08
12.644, -0.91295E-05, 0.45902E-08, 0.13536E-05, 0.28139E-08
12.735, -0.89993E-05, 0.44537E-08, 0.13342E-05, 0.27280E-08
12.826, -0.88698E-05, 0.43222E-08, 0.13139E-05, 0.26469E-08
12.917, -0.87453E-05, 0.41954E-08, 0.12955E-05, 0.25700E-08
13.008, -0.86233E-05, 0.40732E-08, 0.12774E-05, 0.24958E-08
13.099, -0.85038E-05, 0.39554E-08, 0.12596E-05, 0.24243E-08
13.190, -0.83868E-05, 0.38417E-08, 0.12423E-05, 0.23553E-08
13.281, -0.82723E-05, 0.37321E-08, 0.12253E-05, 0.22886E-08
13.372, -0.81600E-05, 0.36262E-08, 0.12086E-05, 0.22243E-08
13.463, -0.80500E-05, 0.35241E-08, 0.11923E-05, 0.21622E-08
13.554, -0.79422E-05, 0.34255E-08, 0.11764E-05, 0.21022E-08
13.645, -0.78366E-05, 0.33303E-08, 0.11607E-05, 0.20443E-08
13.736, -0.77331E-05, 0.32383E-08, 0.11453E-05, 0.19883E-08
13.827, -0.76316E-05, 0.31494E-08, 0.11303E-05, 0.19342E-08
13.918, -0.75321E-05, 0.30636E-08, 0.11155E-05, 0.18820E-08
14.009, -0.74345E-05, 0.29806E-08, 0.11011E-05, 0.18314E-08
